sale_id,customer_id,product_id,salesperson_id,order_date,delivery_date,quantity,unit_price,discount_percent,total_amount,profit,city,state,country
86,9,4,5,2026-05-16,2026-05-13,4,115.66,15.33,391.72,29.21,New York,NY,USA
87,6,4,1,2025-09-24,2026-04-06,2,150.78,3.33,291.52,22.49,New York,NY,USA
88,2,6,3,2026-09-19,2026-01-05,4,182.65,16.01,613.63,45.19,New York,NY,USA
89,6,2,5,2025-10-08,2026-01-23,4,300.43,8.63,1098.01,46.03,New York,NY,USA
90,10,2,5,2026-07-21,2025-11-27,2,378.73,6.8,705.95,38.51,New York,NY,USA
91,5,5,1,2025-11-21,2026-05-10,5,494.57,12.43,2165.47,12.45,New York,NY,USA
92,3,9,3,2026-04-21,2025-11-26,5,454.86,10.5,2035.5,31.04,New York,NY,USA
93,2,10,4,2026-01-13,2025-11-05,2,47.39,1.33,93.52,12.04,New York,NY,USA
94,5,6,5,2026-05-12,2026-01-12,2,360.7,13.01,627.55,12.7,New York,NY,USA
95,3,2,2,2025-12-18,2025-10-11,1,491.26,4.94,466.99,28.7,New York,NY,USA
96,5,8,1,2026-08-10,2025-10-27,3,370.38,0.27,1108.14,10.98,New York,NY,USA
97,10,7,4,2026-01-07,2026-01-11,1,299.82,11.18,266.3,15.09,New York,NY,USA
98,6,10,4,2025-11-13,2026-02-03,2,23.63,18.96,38.3,8.44,New York,NY,USA
99,4,4,5,2026-03-04,2026-03-31,2,444.03,0.44,884.15,27.03,New York,NY,USA
100,5,2,2,2025-11-03,2026-07-18,5,265.0,18.53,1079.48,7.08,New York,NY,USA
